                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.91437,                0.75418,                 1.4167,                 0.9795,                0.86558,                0.91296,                0.78143,                    nan,                    nan,                    nan,             0.00026894,             0.00026894,             0.00026894
                     84,                0.91206,                0.74722,                 1.4419,                0.98843,                0.86798,                0.93375,                0.79574,                    nan,                    nan,                    nan,             0.00025479,             0.00025479,             0.00025479
                     85,                0.88604,                0.70723,                 1.4119,                0.96647,                0.86905,                0.91534,                0.78739,                    nan,                    nan,                    nan,             0.00024064,             0.00024064,             0.00024064
                     86,                0.90256,                0.75018,                 1.4229,                0.99136,                0.85596,                 0.9074,                0.77746,                    nan,                    nan,                    nan,              0.0002265,              0.0002265,              0.0002265
                     87,                0.87139,                0.71096,                  1.386,                0.97498,                0.86746,                0.91525,                0.79175,                    nan,                    nan,                    nan,             0.00021235,             0.00021235,             0.00021235
                     88,                0.89344,                0.72608,                 1.4097,                0.98067,                0.85693,                0.90936,                0.78374,                    nan,                    nan,                    nan,              0.0001982,              0.0001982,              0.0001982
                     89,                0.87432,                0.67588,                  1.391,                0.99062,                0.86249,                0.91671,                0.79551,                    nan,                    nan,                    nan,             0.00018406,             0.00018406,             0.00018406
                     90,                0.85947,                 0.6861,                 1.3569,                0.97367,                0.86421,                0.90373,                0.78374,                    nan,                    nan,                    nan,             0.00016991,             0.00016991,             0.00016991
                     91,                  0.656,                0.51624,                 1.2206,                0.97388,                0.86375,                0.91457,                0.78375,                    nan,                    nan,                    nan,             0.00015576,             0.00015576,             0.00015576
                     92,                 0.6482,                0.47207,                 1.2202,                0.99509,                0.85838,                0.91679,                0.78732,                    nan,                    nan,                    nan,             0.00014161,             0.00014161,             0.00014161
                     93,                0.63704,                0.46457,                 1.2014,                0.98827,                0.86154,                0.91671,                0.79463,                    nan,                    nan,                    nan,             0.00012747,             0.00012747,             0.00012747
                     94,                0.61673,                0.44724,                 1.1923,                0.98472,                0.87087,                 0.9284,                0.81158,                    nan,                    nan,                    nan,             0.00011332,             0.00011332,             0.00011332
                     95,                0.62466,                0.44747,                 1.2015,                 0.9917,                0.86685,                0.93728,                0.81926,                    nan,                    nan,                    nan,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.61471,                0.43804,                 1.1754,                0.98951,                0.85705,                0.92051,                0.80918,                    nan,                    nan,                    nan,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                 0.6106,                0.44479,                 1.1828,                0.97504,                0.86218,                 0.9103,                 0.8029,                    nan,                    nan,                    nan,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.60088,                0.42607,                  1.166,                0.99124,                0.85633,                0.91906,                0.81042,                    nan,                    nan,                    nan,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.59785,                0.43003,                 1.1583,                0.99344,                 0.8665,                0.92974,                  0.824,                    nan,                    nan,                    nan,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.60073,                0.42402,                 1.1813,                0.99597,                 0.8613,                0.92543,                0.82027,                    nan,                    nan,                    nan,             2.8437e-05,             2.8437e-05,             2.8437e-05
